"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"1000","A03","드로잉&판화","2001","283","흰 산","","60 X 91","","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1946","http://collections.eseoul.go.kr/data/art/thumb/1000.jpg"
"1001","A03","드로잉&판화","2001","284","공장지대 II","","23*31cm","45*56cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1949","http://collections.eseoul.go.kr/data/art/thumb/1001.jpg"
"1002","A03","드로잉&판화","2001","285","공장지대 II","","30.5*39cm","50*62cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1952","http://collections.eseoul.go.kr/data/art/thumb/1002.jpg"
"1003","A03","드로잉&판화","2001","286","화전에서 I","","23*31cm","45*56cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1955","http://collections.eseoul.go.kr/data/art/thumb/1003.jpg"
"1004","A03","드로잉&판화","2001","287","화전에서 I","","23*30cm","45*56cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1958","http://collections.eseoul.go.kr/data/art/thumb/1004.jpg"
"1005","A03","드로잉&판화","2001","288","신사동에서 II","","47*72cm","67*94cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1961","http://collections.eseoul.go.kr/data/art/thumb/1005.jpg"
"1006","A03","드로잉&판화","2001","289","호랑이","","35*24cm","58*44cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1964","http://collections.eseoul.go.kr/data/art/thumb/1006.jpg"
"1007","A03","드로잉&판화","2001","290","벌서는 아이들 I","","39.5*29cm","62*50cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1967","http://collections.eseoul.go.kr/data/art/thumb/1007.jpg"
"1008","A03","드로잉&판화","2001","291","어머니","","40*29cm","62*50cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1970","http://collections.eseoul.go.kr/data/art/thumb/1008.jpg"
"1009","A03","드로잉&판화","2001","292","이야기 II","","30.5*22cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1973","http://collections.eseoul.go.kr/data/art/thumb/1009.jpg"
"1010","A03","드로잉&판화","2001","293","삶","","25*34cm","45*56cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1976","http://collections.eseoul.go.kr/data/art/thumb/1010.jpg"
"1011","A03","드로잉&판화","2001","294","여름","","30.5*24cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1979","http://collections.eseoul.go.kr/data/art/thumb/1011.jpg"
"1012","A03","드로잉&판화","2001","295","아이들","","30.5*24cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1982","http://collections.eseoul.go.kr/data/art/thumb/1012.jpg"
"1013","A03","드로잉&판화","2001","296","광대","","34.5*24cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1985","http://collections.eseoul.go.kr/data/art/thumb/1013.jpg"
"1014","A03","드로잉&판화","2001","297","광대 II","","30.5*22cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1988","http://collections.eseoul.go.kr/data/art/thumb/1014.jpg"
"1015","A03","드로잉&판화","2001","298","광대 III","","31*24cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1991","http://collections.eseoul.go.kr/data/art/thumb/1015.jpg"
"1016","A03","드로잉&판화","2001","299","시골아이 II","","30.5*22cm","56*45cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1994","http://collections.eseoul.go.kr/data/art/thumb/1016.jpg"
"1017","A03","드로잉&판화","2001","300","나무로부터 I","","29*39cm","50*62cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1997","http://collections.eseoul.go.kr/data/art/thumb/1017.jpg"
"1018","A03","드로잉&판화","2001","301","누하동에서","","23*31cm","45*56cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2000","http://collections.eseoul.go.kr/data/art/thumb/1018.jpg"
"1019","A03","드로잉&판화","2001","302","산동네","","29*43cm","50*64cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2003","http://collections.eseoul.go.kr/data/art/thumb/1019.jpg"
"1020","A03","드로잉&판화","2001","303","산동네 I","","29*39cm","50*62cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2006","http://collections.eseoul.go.kr/data/art/thumb/1020.jpg"
"1021","A03","드로잉&판화","2001","304","산동네 III","","29*39cm","50*62cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2009","http://collections.eseoul.go.kr/data/art/thumb/1021.jpg"
"1022","A03","드로잉&판화","2001","305","산으로부터 I","","29*39cm","50*62cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2012","http://collections.eseoul.go.kr/data/art/thumb/1022.jpg"
"1023","A03","드로잉&판화","2001","306","산으로부터 II","","38*56cm","57*79cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2015","http://collections.eseoul.go.kr/data/art/thumb/1023.jpg"
"1024","A03","드로잉&판화","2001","307","북한산 I","","37.5*91.5cm","57*113cm","1991","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2018","http://collections.eseoul.go.kr/data/art/thumb/1024.jpg"
"1025","A03","드로잉&판화","2001","308","북한산 II","","39 X 107","63*133cm","1991","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2021","http://collections.eseoul.go.kr/data/art/thumb/1025.jpg"
"1026","A04","조각","2001","309","空 . 0 . 不","","78 X 75 X 70","","2000","아크릴","","2001","B02","북서울미술관 수장고","","양주혜","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2024","http://collections.eseoul.go.kr/data/art/thumb/1026.jpg"
"1027","A05","뉴미디어","2001","310","시장","","가변크기(설치)","","2000","모니터, 혼합재료등","","2001","B02","북서울미술관 수장고","","백남준","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2026","http://collections.eseoul.go.kr/data/art/thumb/1027.jpg"
"1028","A02","회화","2001","311","1989년도의 빅부라더","","91 X 116.8","","1989","캔버스에 유채","","2001","B02","북서울미술관 수장고","","유성숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2030","http://collections.eseoul.go.kr/data/art/thumb/1028.jpg"
"1029","A02","회화","2001","312","어떤표정","","130 X 162","","1985","캔버스에 유채","","2001","B02","북서울미술관 수장고","","유성숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2031","http://collections.eseoul.go.kr/data/art/thumb/1029.jpg"
"1030","A03","드로잉&판화","2001","313","무제","","49 X 49","66 X 66","2001","리도그래프","","2001","B01","서소문본관 수장고","","헬무트쥰트 하우젠","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2032","http://collections.eseoul.go.kr/data/art/thumb/1030.jpg"
"1031","A05","뉴미디어","2001","314","서울랩소디","Seoul RAPHSODY","280 X 1000 X 50","","2001","모니터, 혼합재료등","","2001","B01","서소문본관 수장고","백남준(1932―2006)은 1956년 일본 도쿄대에서 미학과 미술사를 전공으로 졸업하고, 독일 뮌헨대학교 철학과에 입학하여 음악학과 미술사를 수학하였다. 1962년 조지 마키우나스, 요제프 보이스와 같은 세계적인 젊은 작가들과 함께 플럭서스 운동에 가담하였고, 이후에 퍼포먼스와 비디오아트라는 새로운 실험 예술로 전 세계적 명성을 얻었다. 1981년 베를린 미술 아카이브가 제정한 빌 그로만 상(Will Grohmann Preis)을 수상하였고, 1993년 베니스비엔날레 독일관 작가로 초청되었다. 이때 전시된 〈전자 고속도로〉로 황금사자상을 수상하였다. 1999년에는 독일 〈카피탈〉 지 선정 세계 100대 작가 중 8위에 오르기도 하였으며, 같은 해 독일 브레멘 쿤스트할레, 2000년 뉴욕 구겐하임 미술관, 2001년 스페인 빌바오 구겐하임미술관에서 대규모 회고전이 열렸다. 2006년 마이애미에서 타계하였다.  비디오아트의 선구자로 잘 알려진 백남준은 1956년 관습적인 예술개념에 대항하여 등장한 독일 플럭서스(Fluxus) 운동에 참여하며 퍼포먼스에 경도되었다. 이후 1963년 13대의 TV 수상기로 제작된 최초의 비디오아트 〈장치된 TV(Prepared TV)〉를 발표하였다. 이듬해 뉴욕으로 이주한 백남준은 TV와 같은 전자장치를 이용하여 자신만의 독특한 예술 세계를 구축하였다. 그의 예술 세계는 퍼포먼스와 비디오아트를 양축으로 하여 퍼포먼스의 문맥 속에서 비디오를 사용하기도 하고, 때로는 비디오아트에 퍼포먼스를 접목시킴으로써 새로운 미디어 예술을 수립하기에 이른다. 비디오와 퍼포먼스의 결합을 보여주는 초기작품으로 〈참여 TV(Participation TVs)〉(1969)가 있다.  〈서울랩소디〉(2001)는 서울시립미술관 본관 1층 로비에 영구 설치된 작품으로, TV를 이용한 일종의 비디오 조각이다. 중앙 150개, 좌우 65개씩 총 280개의 모니터로 구성되었으며, 중앙 모니터에는 ‘굿모닝 미스터 오웰’ 등 작가의 7가지의 DVD 영상이, 좌우 64개씩의 모니터에는 ‘체이스 5’, 좌우 정중앙의 1개씩의 모니터에는 ‘누드’가 상영된다. 서울의 역동성을 담은 영상 서사시로, 백남준의 창조성이 집약된 영상작업들과 함께 서울과 관련된 도상 및 영상으로 이루어져 있다. 비디오아트의 선구자인 백남준에게 TV는 캔버스와 마찬가지로, 작가의 의도를 표현할 수 있는 하나의 매체이며, 그 TV 화면 속 영상들은 회화의 물감처럼 다양하게 표현된다. 작품 속 영상들은 현란한 이미지에서 단편적 풍경들까지 다양한 이미지를 담고 있다. 그의 작품의 특징 중 하나는 이러한 TV 작품에 꾸준하게 새로운 영상이 추가될 수 있다는 점이다. 따라서 시간이 지나고 기술이 발전함에 따라 그의 작품들은 정체되지 않고 지속적으로 함께 발전하는 것이다. ","백남준","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2035","http://collections.eseoul.go.kr/data/art/thumb/1031.jpg"
"1032","A04","조각","2003","1","토르소","","H74.5 X 32 X 24","","1980년대초","동합금","","2003","B02","북서울미술관 수장고","","김정숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2036","http://collections.eseoul.go.kr/data/art/thumb/1032.jpg"
"1033","A04","조각","2003","2","비상","","72*72*32cm","","1989","동합금","","2003","B02","북서울미술관 수장고","","김정숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2037","http://collections.eseoul.go.kr/data/art/thumb/1033.jpg"
"1034","A04","조각","2003","3","비상","","H107 X 62.5 X 19","","1980년대후반","동합금","","2003","B02","북서울미술관 수장고","","김정숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14290","http://collections.eseoul.go.kr/data/art/thumb/14290.jpg"
"1035","A04","조각","2003","4","두얼굴","","H115.5 X 38.5 X 38","","1990","동합금, 대좌는마천석","","2003","B02","북서울미술관 수장고","","김정숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2039","http://collections.eseoul.go.kr/data/art/thumb/1035.jpg"
"1036","A04","조각","2003","5","여인두상","","H73 X 36 X 18","","1990년경","대리석","","2003","B02","북서울미술관 수장고","","김정숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2040","http://collections.eseoul.go.kr/data/art/thumb/1036.jpg"
"1037","A02","회화","2003","6","안과 밖","","240 X 160","","1990","캔버스에 유채","작가(김기린) 기증, 2003년","2003","B02","북서울미술관 수장고","","김기린","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2042","http://collections.eseoul.go.kr/data/art/thumb/1037.jpg"
